sza_deg,mu0_cos_sza,total_direct_horiz,total_diffuse_down_horiz,total_diffuse_up_horiz,total_global_horiz,dni_reconstructed,ghi_from_identity,ghi_check_error,n_points
15.0,0.9659258262890683,841646.4138985,43085.9898145,1.6358238725671344e-11,884732.4037129999,871336.4846366829,884732.403713,-1.1641532182693481e-10,801
15.5,0.963630453208623,839411.633018,43067.392657,-1.394414550097227e-11,882479.0256749999,871092.8865136956,882479.025675,-1.1641532182693481e-10,801
16.0,0.9612616959383189,837105.6155415,43048.137365500006,3.3800669466861346e-11,880153.752907,870840.4996044016,880153.752907,0.0,801
16.5,0.958819734868193,834728.5750785,43028.216520999995,5.743486484171359e-12,877756.7915995,870579.259815974,877756.7915995,0.0,801
17.0,0.9563047559630354,832280.5908165,43007.625319499995,-1.1269629916385209e-11,875288.2161360001,870308.9529010672,875288.216136,1.1641532182693481e-10,801
17.5,0.9537169507482269,829762.0334465,42986.3576585,-7.500559529317205e-12,872748.3911049999,870029.6590047186,872748.3911049999,0.0,801
18.0,0.9510565162951535,827173.067929,42964.410297,-3.504681640940908e-11,870137.478226,869741.2338346177,870137.478226,0.0,801
18.5,0.9483236552061993,824513.8381035,42941.7734525,8.4352176832192e-11,867455.6115560001,869443.5001984858,867455.611556,1.1641532182693481e-10,801
19.0,0.9455185755993168,821784.5936895,42918.444191,7.267470885005616e-12,864703.0378805,869136.3817666003,864703.0378805,0.0,801
19.5,0.9426414910921784,818985.67258,42894.4148385,-1.0134325954635048e-11,861880.0874184999,868819.8857352372,861880.0874185,-1.1641532182693481e-10,801
20.0,0.9396926207859084,816117.1958315,42869.6781415,-8.009844112412002e-12,858986.8739730001,868493.7795392534,858986.873973,1.1641532182693481e-10,801
20.5,0.9366721892483976,813179.4542105,42844.228176,1.20547685329136e-11,856023.6823865,868157.9997192078,856023.6823865,0.0,801
21.0,0.9335804264972017,810172.6438635,42818.0572995,3.4467828950977237e-11,852990.701163,867812.3714560637,852990.701163,0.0,801
21.5,0.9304175679820246,807097.1726895,42791.1586935,3.3572091611334943e-12,849888.3313829999,867456.9359647913,849888.331383,-1.1641532182693481e-10,801
22.0,0.9271838545667874,803953.1118350001,42763.524431,8.868850975185483e-12,846716.6362660001,867091.3625978043,846716.6362660001,0.0,801
22.5,0.9238795325112867,800740.8099959999,42735.14519449999,2.8609974343405996e-12,843475.9551905,866715.6071954841,843475.9551904999,1.1641532182693481e-10,801
23.0,0.9205048534524404,797460.625522,42706.014839,1.3278948868968641e-11,840166.6403610001,866329.6261079435,840166.640361,1.1641532182693481e-10,801
23.5,0.917060074385124,794112.7162625,42676.123795,3.396358487829557e-11,836788.8400574999,865933.1470677551,836788.8400575,-1.1641532182693481e-10,801
24.0,0.9135454576426009,790697.3933605,42645.463865,-3.4951349060404386e-12,833342.8572255,865526.0520925695,833342.8572255,0.0,801
24.5,0.9099612708765432,787215.0469445,42614.0263745,2.656729427643762e-11,829829.073319,865108.2987149499,829829.073319,0.0,801
25.0,0.9063077870366499,783665.8698585001,42581.80090450001,1.4149099344186002e-11,826247.670763,864679.6166464027,826247.6707630001,-1.1641532182693481e-10,801
25.5,0.9025852843498606,780050.1613115,42548.777195500006,1.1589644327907022e-11,822598.938507,864239.8395331432,822598.938507,0.0,801
26.0,0.898794046299167,776368.33585,42514.947797,3.534055288992484e-11,818883.283647,863788.9169902032,818883.2836470001,-1.1641532182693481e-10,801
26.5,0.8949343616020251,772620.596587,42480.299779500005,1.9438672172351057e-11,815100.8963665001,863326.5519092698,815100.8963665,1.1641532182693481e-10,801
27.0,0.8910065241883679,768807.3545555,42444.824144,5.73522386078612e-12,811252.1786994999,862852.6657039003,811252.1786994999,0.0,801
27.5,0.8870108331782217,764928.864232,42408.5084335,-4.1089026026631935e-14,807337.3726655,862366.9921721321,807337.3726654999,1.1641532182693481e-10,801
28.0,0.882947592858927,760985.526108,42371.3423325,-1.742435156283455e-11,803356.8684405,861869.4158777626,803356.8684405,0.0,801
28.5,0.8788171126619654,756977.7344675,42333.314858,2.437777538036584e-11,799311.0493255,861359.8023536319,799311.0493255,0.0,801
29.0,0.8746197071393957,752905.671715,42294.4107285,-2.1621032877987164e-11,795200.0824434999,860837.7624802397,795200.0824434999,0.0,801
29.5,0.8703556959398997,748769.823035,42254.6205645,1.1271203834273302e-11,791024.4435995,860303.2375474963,791024.4435995,0.0,801
30.0,0.8660254037844387,744570.4449044999,42213.93033349999,-4.2874703064042104e-11,786784.375238,859755.8935925048,786784.375238,0.0,801
30.5,0.8616291604415258,740308.0678975,42172.326205499994,-9.671612514057102e-12,782480.3941029999,859195.6979707406,782480.3941029999,0.0,801
31.0,0.8571673007021123,735982.884546,42129.794525,-4.0339301504932986e-12,778112.679071,858622.2128902384,778112.6790710001,-1.1641532182693481e-10,801
31.5,0.8526401643540923,731595.3784594999,42086.3220415,2.91406027597511e-11,773681.700501,858035.3225721094,773681.7005009999,1.1641532182693481e-10,801
32.0,0.848048096156426,727145.9258435,42041.8912865,2.320627867531146e-11,769187.81713,857434.7718473916,769187.81713,0.0,801
32.5,0.8433914458128857,722634.87731,41996.48945949999,3.006779688839823e-11,764631.3667695001,856820.2593203954,764631.3667695,1.1641532182693481e-10,801
33.0,0.838670567945424,718062.6975255,41950.100462999995,2.951626971813132e-11,760012.7979885,856191.602484168,760012.7979885,0.0,801
33.5,0.8338858220671682,713429.783101,41902.68937950001,1.826684195560239e-13,755332.4724804999,855548.5226172059,755332.4724805,-1.1641532182693481e-10,801
34.0,0.8290375725550417,708736.4203695,41854.2188985,-1.2138123019636793e-11,750590.639268,854890.5910080997,750590.6392679999,1.1641532182693481e-10,801
34.5,0.8241261886220157,703983.1848490001,41804.78895649999,-2.689868008472359e-13,745787.9738055,854217.7090939176,745787.9738055001,-1.1641532182693481e-10,801
35.0,0.8191520442889918,699170.4497535,41754.3078165,2.6469771015345497e-12,740924.75757,853529.5182719913,740924.75757,0.0,801
35.5,0.8141155183563192,694298.5790255,41702.739203,6.9214557111392736e-12,736001.3182285001,852825.6290056638,736001.3182285,1.1641532182693481e-10,801
36.0,0.8090169943749475,689368.080005,41650.04575899999,1.7986916022468477e-12,731018.125764,852105.8084046935,731018.125764,0.0,801
36.5,0.8038568606172173,684379.360267,41596.2101005,5.1110162890877405e-12,725975.5703675,851369.6825844342,725975.5703675001,-1.1641532182693481e-10,801
37.0,0.7986355100472928,679332.8802014999,41541.282368,3.2223644472219766e-11,720874.1625695,850616.9230582695,720874.1625694999,1.1641532182693481e-10,801
37.5,0.7933533402912352,674229.1125719999,41485.2020327,5.325886361345001e-12,715714.3146047001,849847.197119627,715714.3146046998,2.3283064365386963e-10,801
38.0,0.7880107536067219,669068.5438989999,41427.950764,-1.0360003014225001e-11,710496.494663,849060.1693399183,710496.4946629999,1.1641532182693481e-10,801
38.5,0.7826081568524139,663851.539178,41369.51164055,2.0761588039070002e-11,705221.0508185499,848255.3285004805,705221.0508185499,0.0,801
39.0,0.7771459614569709,658578.6802965,41309.85698705001,8.486895086462999e-12,699888.53728355,847432.4167648193,699888.53728355,0.0,801
39.5,0.77162458338772,653250.3522295,41248.928542249996,1.6999311726477986e-11,694499.28077175,846590.9022253893,694499.2807717499,1.1641532182693481e-10,801
40.0,0.766044443118978,647867.1326435,41186.727865,-2.2760339199629998e-11,689053.8605085,845730.4774716272,689053.8605085,0.0,801
40.5,0.7604059656000309,642429.4629415,41123.22765765001,3.4193907491941985e-11,683552.69059915,844850.6350611853,683552.69059915,0.0,801
41.0,0.754709580222772,636937.90215085,41058.4477768,2.666218907618836e-11,677996.3499276501,843950.99630621,677996.3499276501,0.0,801
41.5,0.7489557207890021,631392.8619556,40992.29665245,-3.914319498803763e-12,672385.1586080501,843030.9622182294,672385.15860805,1.1641532182693481e-10,801
42.0,0.7431448254773942,625794.9238866,40924.73637945,1.928493830076469e-11,666719.6602660499,842090.1316033398,666719.6602660499,0.0,801
42.5,0.7372773368101241,620144.614951,40855.76339675,1.126490075575869e-11,661000.37834775,841128.0043329338,661000.3783477499,1.1641532182693481e-10,801
43.0,0.7313537016191705,614442.4601144,40785.35464335,1.6415720140155613e-11,655227.8147577499,840144.0489793975,655227.81475775,-1.1641532182693481e-10,801
43.5,0.7253743710122877,608689.00113735,40713.51008435,-1.0215570837437487e-12,649402.5112217,839137.7273061097,649402.5112217,0.0,801
44.0,0.7193398003386512,602884.69146345,40640.115847500005,4.312684009913633e-12,643524.80731095,838108.347653812,643524.80731095,0.0,801
44.5,0.7132504491541817,597030.22777295,40565.17462625,-2.1394087560886698e-11,637595.4023992,837055.5230367493,637595.4023992,0.0,801
45.0,0.7071067811865476,591126.05671075,40488.6545462,1.9706015833058e-11,631614.71125695,835978.4864724699,631614.7112569499,1.1641532182693481e-10,801
45.5,0.7009092642998509,585172.8008899,40410.519942800005,1.834399942731411e-11,625583.3208327,834876.6818975322,625583.3208327,0.0,801
46.0,0.6946583704589973,579171.0581012,40330.72954745,1.2335484836405147e-11,619501.78764865,833749.4842515341,619501.78764865,0.0,801
46.5,0.6883545756937539,573121.2872323,40249.2439688,1.4082088072276037e-11,613370.5312011,832596.0304029116,613370.5312011,0.0,801
47.0,0.6819983600624985,567024.2346508,40166.02500845,-3.5659173089547075e-13,607190.25965925,831415.8330217067,607190.25965925,0.0,801
47.5,0.6755902076156602,560880.4062478,40081.0218761,9.474893675251732e-12,600961.4281239,830208.0165242447,600961.4281239,0.0,801
48.0,0.6691306063588582,554690.4252458,39994.186206599996,-4.5983747883253985e-12,594684.6114524,828971.8329642758,594684.6114524001,-1.1641532182693481e-10,801
48.5,0.6626200482157375,548454.8983668,39905.4940435,-2.0828462912710013e-12,588360.3924103,827706.4659357133,588360.3924103001,-1.1641532182693481e-10,801
49.0,0.6560590289905073,542174.4465026,39814.88303899999,1.2187527485089628e-11,581989.3295416,826411.0736146044,581989.3295416,0.0,801
49.5,0.6494480483301837,535849.73286905,39722.3023653,1.0237995485049141e-11,575572.03523435,825084.8304907377,575572.03523435,0.0,801
50.0,0.6427876096865394,529481.4196203,39627.694422399996,-7.46817584099099e-12,569109.1140427,823726.8603831768,569109.1140426999,1.1641532182693481e-10,801
50.5,0.636078220277764,523070.07509295,39531.0214178,2.5384651090158283e-11,562601.09651075,822336.0876348426,562601.09651075,0.0,801
51.0,0.6293203910498375,516616.37840124994,39432.216335000005,-1.680387367890801e-12,556048.59473625,820911.5511725692,556048.5947362499,1.1641532182693481e-10,801
51.5,0.6225146366376195,510121.0857045,39331.21897705,1.4575549945719164e-11,549452.30468155,819452.35610814,549452.30468155,0.0,801
52.0,0.6156614753256583,503584.77651215,39227.9621661,1.40246362695343e-12,542812.73867825,817957.2649819861,542812.73867825,0.0,801
52.5,0.6087614290087207,497008.15811794996,39122.40285135,-8.015999259917924e-12,536130.5609693,816425.1781313665,536130.5609693,0.0,801
53.0,0.6018150231520484,490391.99707675003,39014.4613524,1.4158361907467346e-11,529406.45842915,814855.0272279471,529406.45842915,0.0,801
53.5,0.5948227867513414,483736.89565935,38904.057065349996,-1.696389039722625e-12,522640.9527247,813245.4008719247,522640.9527247,0.0,801
54.0,0.5877852522924731,477043.69668615004,38791.13443245,1.9225633660274e-11,515834.8311186,811595.2124106378,515834.83111860004,-5.820766091346741e-11,801
54.5,0.5807029557109398,470313.07835845,38675.62041349999,7.60701682769591e-12,508988.69877195,809903.0213866532,508988.69877195,0.0,801
55.0,0.573576436351046,463545.78555984993,38557.42665455,-2.6328699872137017e-12,502103.2122144,808167.4144579851,502103.21221439994,5.820766091346741e-11,801
55.5,0.5664062369248328,456742.5704941,38436.46266405001,1.336502789428301e-11,495179.03315815004,806386.901694223,495179.03315815,5.820766091346741e-11,801
56.0,0.5591929034707468,449904.20695902,38312.66562825,4.9986908260640774e-12,488216.87258727005,804559.9365918204,488216.87258727,5.820766091346741e-11,801
56.5,0.5519369853120581,443031.51402369,38185.93208345,-5.712033088514404e-12,481217.44610714004,802684.9546478674,481217.44610714004,0.0,801
57.0,0.5446390350150271,436125.2863179,38056.159325450004,-3.784763579250933e-12,474181.44564335,800760.2435361007,474181.44564335,0.0,801
57.5,0.5372996083468239,429186.31812025,37923.26675329999,2.5464958166547954e-12,467109.58487355,798783.977231587,467109.58487355,0.0,801
58.0,0.5299192642332049,422215.420189125,37787.14443405,1.805269461302803e-12,460002.564623175,796754.2391576804,460002.564623175,0.0,801
58.5,0.5224985647159489,415213.47300373495,37647.6775799,1.9223119041762333e-11,452861.15058363497,794669.1168988409,452861.15058363497,0.0,801
59.0,0.5150380749100542,408181.38078465,37504.761625044994,5.067519251652359e-12,445686.14240969496,792526.6124372154,445686.14240969496,0.0,801
59.5,0.5075383629607042,401119.989600465,37358.27867814,1.8066529212826322e-11,438478.268278605,790324.4737216474,438478.268278605,0.0,801
60.0,0.5000000000000001,394030.17109055,37208.095812545,-3.1398311490074275e-12,431238.266903095,788060.3421810998,431238.266903095,0.0,801
60.5,0.4924235601034671,386912.89801262,37054.089751114996,1.1655859468831147e-11,423966.987763735,785731.8970102133,423966.987763735,0.0,801
61.0,0.4848096202463371,379769.07831639505,36896.123209544996,1.874783793524064e-12,416665.20152594004,783336.514905439,416665.20152594004,0.0,801
61.5,0.4771587602596084,372599.723877145,36734.046182335005,6.125571642112325e-12,409333.77005948,780871.5985313235,409333.77005948,0.0,801
62.0,0.46947156278589086,365405.809169035,36567.71534717001,1.2291933378325451e-11,401973.52451620495,778334.2765229073,401973.524516205,-5.820766091346741e-11,801
62.5,0.46174861323503386,358188.30880223,36396.96696076,6.17645950194891e-13,394585.27576299,775721.460845859,394585.27576299,0.0,801
63.0,0.4539904997395468,350948.325678745,36221.63050061,1.9652655619161348e-11,387169.956179355,773030.1093967455,387169.956179355,0.0,801
63.5,0.4461978131098087,343686.9090087865,36041.53515750999,-1.0694563331374037e-12,379728.4441662965,770256.8208782448,379728.4441662965,0.0,801
64.0,0.43837114678907746,336405.1683920979,35856.492793035,1.1086719384423737e-11,372261.66118513304,767398.0617934224,372261.6611851329,1.1641532182693481e-10,801
64.5,0.43051109680829525,329104.207046156,35666.30554653,-1.3952136283447837e-12,364770.512592686,764449.9978886832,364770.512592686,0.0,801
65.0,0.42261826174069944,321785.2509251375,35470.832329995,4.5364436521165917e-13,357256.0832551325,761408.7701741843,357256.0832551325,0.0,801
65.5,0.41469324265623914,314449.445429659,35269.730757720004,1.738027181903501e-11,349719.17618737905,758270.000773373,349719.176187379,5.820766091346741e-11,801
66.0,0.4067366430758002,307098.09098286903,35062.795443035,5.456009623664006e-13,342160.886425904,755029.3198580529,342160.88642590406,-5.820766091346741e-11,801
66.5,0.39874906892524625,299732.4693260255,34849.77271717,-1.855871505808052e-12,334582.2420431955,751681.9290234294,334582.2420431955,0.0,801
67.0,0.3907311284892737,292353.875898515,34630.500878355,3.1140323391204112e-12,326984.37677687,748222.6384902442,326984.37677687,0.0,801
67.5,0.38268343236508984,284963.74070257705,34404.647155635,1.2789113024540751e-11,319368.387858212,744646.139869244,319368.38785821205,-5.820766091346741e-11,801
68.0,0.37460659341591196,277563.49245938554,34171.927858970004,8.136241629545777e-12,311735.4203183555,740946.6286441386,311735.42031835555,-5.820766091346741e-11,801
68.5,0.3665012267242973,270154.64025639236,33932.016266805,-4.186166190518097e-12,304086.65652319737,737117.970029655,304086.65652319737,0.0,801
69.0,0.3583679495453004,262738.7574011149,33684.578647345006,1.4721866630645236e-11,296423.3360484599,733153.6141401026,296423.3360484599,0.0,801
69.5,0.35020738125946743,255317.45584953605,33429.290982165,2.922774774451369e-12,288746.7468317011,729046.472211196,288746.746831701,5.820766091346741e-11,801
70.0,0.3420201433256688,247892.44619790046,33165.77162344,1.184377490188346e-11,281058.2178213404,724789.0249606125,281058.2178213404,0.0,801
70.5,0.3338068592337709,240465.52447822297,32893.62423104,7.613105001371232e-13,273359.14870926295,720373.2272913562,273359.148709263,-5.820766091346741e-11,801
71.0,0.32556815445715676,233038.57498905636,32612.423902545,2.242692249655504e-12,265650.99889160134,715790.447556575,265650.99889160134,0.0,801
71.5,0.3173046564050921,225613.57140555,32321.725481384998,-7.479816863573219e-12,257935.29688693502,711031.3916021353,257935.296886935,2.9103830456733704e-11,801
72.0,0.30901699437494745,218192.60143191024,32021.045339764998,7.1148228120882064e-12,250213.6467716752,706086.0904211794,250213.64677167524,-2.9103830456733704e-11,801
72.5,0.30070579950427306,210777.86238353123,31709.872136243503,1.9567572362902543e-11,242487.73451977473,700943.7886831845,242487.73451977473,0.0,801
73.0,0.29237170472273677,203371.7202610394,31387.65673715,-5.637923247892203e-10,234759.3769981894,695593.0309805518,234759.37699818937,2.9103830456733704e-11,801
73.5,0.28401534470392276,195976.67188099495,31053.813777549494,1.0335880916987728e-13,227030.48565854444,690021.421502048,227030.48565854444,0.0,801
74.0,0.27563735581699916,188595.3016458456,30707.7169030435,1.4597710149625007e-11,219303.01854888911,684215.3201145115,219303.01854888911,0.0,801
74.5,0.26723837607825696,181230.4675054864,30348.679364042,5.92406045661882e-12,211579.14686952837,678160.3382158543,211579.1468695284,-2.9103830456733704e-11,801
75.0,0.25881904510252074,173885.18353694858,29975.990406856497,3.6345268958825765e-12,203861.1739438051,671840.7583494134,203861.17394380507,2.9103830456733704e-11,801
75.5,0.2503800040544415,166562.70404251927,29588.868814749003,-1.733071668128997e-11,196151.57285726827,665239.6411268634,196151.57285726827,0.0,801
76.0,0.24192189559966767,159266.49937398708,29186.472315417,-3.718926999932144e-12,188452.9716894041,658338.5062323638,188452.97168940408,2.9103830456733704e-11,801
76.5,0.23344536385590547,152000.33436944112,28767.914248382498,2.89508185452105e-12,180768.2486178236,651117.3829233275,180768.2486178236,0.0,801
77.0,0.22495105434386492,144768.30833782846,28332.225902771,-7.439958650323276e-13,173100.53424059946,643554.7001995046,173100.53424059946,0.0,801
77.5,0.2164396139381029,137574.83109464735,27878.367859078502,2.4604026856040545e-11,165453.19895372586,635626.8549526742,165453.19895372586,0.0,801
78.0,0.20791169081775945,130424.71435249032,27405.218776453505,4.007242804995833e-12,157829.93312894384,627308.2280246151,157829.93312894384,0.0,801
78.5,0.1993679344171972,123323.2656201182,26911.582627264997,4.670556924870743e-12,150234.8482473832,618571.2159812622,150234.8482473832,0.0,801
79.0,0.19080899537654492,116276.22540626256,26396.156208045002,5.347689497507405e-12,142672.38161430755,609385.4494480282,142672.38161430755,0.0,801
79.5,0.18223552549214744,109289.9688829024,25857.551192478004,2.30233565099905e-12,135147.52007538037,599718.2414776295,135147.5200753804,-2.9103830456733704e-11,801
80.0,0.17364817766693041,102371.50467060354,25294.277259529998,-8.578353785326398e-13,127665.78193013355,589533.999412072,127665.78193013353,2.9103830456733704e-11,801
80.5,0.1650476058606776,95528.59015908133,24704.7301571985,3.794630791221479e-12,120233.32031627983,578794.158575801,120233.32031627983,0.0,801
81.0,0.15643446504023092,88769.84959343424,24087.2109148735,-1.110516062294127e-12,112857.06050830772,567457.1110055889,112857.06050830774,-1.4551915228366852e-11,801
81.5,0.14780941112961055,82104.87759650848,23439.9105823445,-1.6661036505207573e-12,105544.78817885299,555478.0102906483,105544.78817885298,1.4551915228366852e-11,801
82.0,0.13917310096006547,75544.36978497572,22760.904457878,-2.908161623846963e-12,98305.27424285372,542808.6984039575,98305.2742428537,1.4551915228366852e-11,801
82.5,0.1305261922200517,69100.3104332508,22048.031959195,-2.092890904384797e-13,91148.3423924458,529398.040791352,91148.34239244579,1.4551915228366852e-11,801
83.0,0.12186934340514749,62783.21196977297,21299.151049996,1.4810179567683112e-12,84082.36301976896,515168.21388832683,84082.36301976896,0.0,801
83.5,0.11320321376790683,56613.84946399971,20512.552527317,1.662663867364016e-13,77126.40199131671,500108.1469300986,77126.4019913167,1.4551915228366852e-11,801
84.0,0.10452846326765346,50606.34924779198,19686.1065106845,1.5236938081426728e-12,70292.45575847647,484139.4168228647,70292.45575847648,-1.4551915228366852e-11,801
84.5,0.09584575252022406,44779.67407136976,18817.903344025002,3.737283511507296e-12,63597.577415394764,467205.6183389135,63597.57741539476,7.275957614183426e-12,801
85.0,0.08715574274765814,39155.04096295253,17906.163592062,9.63526416706365e-13,57061.20455501453,449253.7121313744,57061.20455501453,0.0,801
85.5,0.078459095727845,33755.468663946645,16949.5808880875,-7.339237453223929e-13,50705.04955203415,430230.1517855359,50705.04955203415,0.0,801
86.0,0.06975647374412523,28608.191586291614,15947.881598521999,3.3312443344894175e-13,44556.073184813606,410115.2201475916,44556.07318481361,-7.275957614183426e-12,801
86.5,0.06104853953485691,23740.796419891976,14901.618171151,2.788490822760178e-13,38642.41459104297,388883.93728627503,38642.41459104298,-7.275957614183426e-12,801
87.0,0.052335956242943966,19184.946577698825,13812.982321167001,-1.3364151990256801e-12,32997.92889886582,366572.9635022266,32997.92889886582,0.0,801
87.5,0.04361938736533601,14972.817909491976,12686.712832922502,7.798696639922946e-14,27659.530742414478,343260.61904736335,27659.530742414478,0.0,801
88.0,0.03489949670250108,11137.781135715632,11530.4964468415,-6.443882661250313e-15,22668.27758255713,319138.7323049114,22668.27758255713,0.0,801
88.5,0.02617694830787314,7712.041359485022,10356.397051960499,2.4613184028678767e-14,18068.43841144552,294611.93370525556,18068.438411445524,-3.637978807091713e-12,801
89.0,0.0174524064372836,4722.177109288345,9182.3540149055,-1.676737083615593e-13,13904.531124193845,270574.5552200957,13904.531124193845,0.0,801
89.5,0.008726535498373897,2174.6156056998825,8035.54794723545,1.204259632922361e-13,10210.163552935332,249195.7554180695,10210.163552935333,-1.8189894035458565e-12,801
90.0,6.123233995736766e-17,,,,,,,,1
